,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
158,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Better choice,logical choice,very confident,very likely,yes,No one can predict the future,weather is unpredictable,very confident,very likely
167,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,the image of the grapht shows how high it is ,high amount of rain,very confident,likely,yes,the graph shows ,based on the graph,extremely confident,virtually certain
172,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),That the drive way may be lost ,avoid damage and its costs,moderately confident,about as likely as not,yes,It shows how much rain is falling ,amount of rain,moderately confident,about as likely as not
180,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because ,feels right,extremely confident,about as likely as not,no,No natural disasters happen ,low risk of flooding,not very confident,unlikely
188,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),The frequency of the rain,amount of rain,very confident,likely,yes,Rainfall will be heavy,high amount of rain,extremely confident,very likely
189,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),In the other scenario is is likely you’d have to repair at $1000 more than 7 times,avoid damage and its costs,very confident,very likely,yes,The value of the policy in relations and replacing its far less than paying out of pocket,cost effective,extremely confident,very likely
190,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Would at least some what help in case of a flood ,to be prepared and protect,moderately confident,about as likely as not,yes,If there ever was a flood it would be able to cover it ,cost effective,moderately confident,likely
201,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,None,no comment,not very confident,likely,yes,None,no comment,moderately confident,likely
210,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,seems logical,logical choice,moderately confident,about as likely as not,no,possible decrease in high emissions value,decrease in rainfall,not very confident,about as likely as not
222,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,The historical data shows the potential for large rainfall,based on average,very confident,very likely,yes,The level of rainfall ,amount of rain,very confident,very likely
225,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,It is unlikely to have numerous flooring events.,low risk of flooding,moderately confident,unlikely,no,Floods are very occasional events.  They are not likely to occur.,low risk of flooding,not very confident,very unlikely
229,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Making sure my drive way gets repaired ,avoid damage and its costs,moderately confident,about as likely as not,yes,Full coverage ,to be prepared and protect,moderately confident,about as likely as not
238,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Basic,?,moderately confident,likely,yes,Safer,safe than sorry,moderately confident,likely
242,Bar_int,do nothing (protect against 0 heavy rainfall events per year),Idk,I don't know,extremely confident,virtually certain,no,Not sure,I don't know,extremely confident,virtually certain
247,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),it is more economical and adds value to home and property,increase property value,moderately confident,likely,yes,low in relation to risks,cost effective,very confident,likely
252,Bar_int,do nothing (protect against 0 heavy rainfall events per year),There would be little chance of flooding ,low risk of flooding,very confident,about as likely as not,no,The price is very high ,too expensive,moderately confident,very unlikely
263,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,TWO RAINFALLES OF THAT AMOUNT ISN'T REALLY ALOT UNLESS YOURE IN A FLOOD PLAIN,not in a flood zone,very confident,about as likely as not,no,NOT ENOUGH RAIN TO NEED INSURANCE,low amount of rain,very confident,very likely
264,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),better long term investment,good investment,very confident,very likely,yes,higher rain predictions in the future to prepare for ,increase in rainfall,moderately confident,likely
266,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,it is a good choice and maybe more workable price-wise,best economic choice,moderately confident,about as likely as not,yes,don't have a choice.  would be too risky and costly not too.,to be prepared and protect,not at all confident,virtually certain
267,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,The heavier rain events are far into the fugure,low risk of flooding,moderately confident,virtually certain,yes,The expected increase in rain ,increase in rainfall,moderately confident,virtually certain
271,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),you are sure that the driveway will not require a yearly  maintenance and you will have a fixed cost and peace of mind.,fix and forget,extremely confident,virtually certain,yes,the possibility of needing flood insurance is great,to be prepared and protect,extremely confident,very likely
275,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I prefer addressing long term need.,long lasting,very confident,likely,no,"Over the life of the mortgage, the likelihood of excessive rainfall increases but probability is still somewhat low.",low risk of flooding,moderately confident,likely
278,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because this option would prevent flood from happening for a long period of time though it is the most expensive ,long lasting,extremely confident,unlikely,yes,"I would buy a flood insurance because of the storm dump reading looking at the graph. From the above story at 1.9 inches, there was flood and from the graph it is likely to be that same figure or more. So the probability of flood occuring is high so I would buy the insurance to prevent any problem ",risk of flood(s),very confident,likely
280,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Save the driveway,to be prepared and protect,moderately confident,about as likely as not,yes,Rainfall totals ,amount of rain,moderately confident,likely
283,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Try to stop the erosion.,erosion control,moderately confident,about as likely as not,no,We live fairly high up in our town.,confusion about personal home,very confident,likely
296,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,I believe it would ultimately be the best financially,best economic choice,very confident,about as likely as not,yes,I expect several events over the course of living in the house with damage costing more than it would have been to have insurance,risk of flood(s),extremely confident,virtually certain
299,Bar_int,do nothing (protect against 0 heavy rainfall events per year),My area is not a problem ,confusion about personal home,extremely confident,very likely,no,I'm not in a flood area ,not in a flood zone,not at all confident,likely
307,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,A good deal ,logical choice,moderately confident,about as likely as not,yes,If it has flooded once it could do it without ,history of flood,moderately confident,about as likely as not
315,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Would likely be the best cost effective measure to take for the normal person.,cost effective,moderately confident,unlikely,no,Insurance is already expensive enough without having to use it.,too expensive,not at all confident,unlikely
320,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because I like that option.,feels right,extremely confident,very likely,yes,That it floods a lot according to the graph.,risk of flood(s),extremely confident,virtually certain
329,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"I think ultimately it becomes the lost cost effective, considering how the rates of rainfall are increasing",cost effective,extremely confident,about as likely as not,yes,"Rainfall amounts seem to be increasing, so I’d want to protect my house.",protection of home and family,moderately confident,virtually certain
334,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Appears what’s needed,to be prepared and protect,moderately confident,very likely,yes,High emissions result ,based on emissions scenario(s)/ projections,very confident,very likely
344,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,gragh shows this,based on the graph,very confident,likely,yes,shoes on graph,based on the graph,moderately confident,very likely
350,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Most cost efficient and used the graph to see that expected didn't double so may assume for only one event hopefully per year,cost benefit analysis,moderately confident,unlikely,yes,The probability for more rainfall,increase in rainfall,very confident,very likely
359,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,none i was taking in to account of both the written scenarios and the graphs,the description,very confident,virtually certain,yes,because if the house floods with only that littel rainfall it will be horrible woth a steadier rain,low amount of rain,extremely confident,virtually certain
363,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Being able to control heavy rain falls before they come,to be prepared and protect,extremely confident,virtually certain,no,Very low ratings ,low risk of flooding,very confident,likely
364,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),to protect from erotion,erosion control,moderately confident,about as likely as not,no,not enough rainfall to cover the cost,not worth the cost,moderately confident,about as likely as not
366,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because the water will not wash away the pavement ,avoid damage and its costs,very confident,very likely,yes,Because it's done been flooded once ,history of flood,not very confident,virtually certain
369,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It seems most cost effective ,cost effective,extremely confident,about as likely as not,yes,It seems sensible and proactive ,to be prepared and protect,extremely confident,about as likely as not
375,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It is what I have done  seem cost effective,cost effective,extremely confident,unlikely,yes,cost over time,cost effective,very confident,very likely
378,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,"for the foreseeable future, there are 2 days of heavy rain.  Going with the 2nd option has less of a cost for some protection",based on 2 events,not very confident,very unlikely,yes,average amounts of rain are increasing,increase in rainfall,moderately confident,very likely
385,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,historic,based on average,moderately confident,about as likely as not,no,live in dessert,confusion about personal home,very confident,unlikely
387,Bar_int,do nothing (protect against 0 heavy rainfall events per year),more rain,increase in rainfall,moderately confident,likely,no,no home,confusion about personal home,moderately confident,likely
389,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,control measurements,erosion control,moderately confident,likely,no,heavy rainfall,high amount of rain,not very confident,unlikely
394,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Heavy rains will continue to worsen. Moderate erosion control is a good balance of costs. ,cost benefit analysis,moderately confident,virtually certain,yes,"High rainfall will definitely occur, and damage is likely. ",high amount of rain,moderately confident,virtually certain
411,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Looks like the projection is less than 3 events per year,freeboard added,moderately confident,about as likely as not,yes,It’s worth the investment to not have o come up with the money out of pocket with increased rain amounts in the future,cost benefit analysis,extremely confident,likely
424,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,From experience I know a gravel lane or drive does not always wash out.,based on prior experience,very confident,very unlikely,yes,to feel covered in case it happens,to be prepared and protect,very confident,likely
441,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,"I chose that option because it had the highest value on the graph, indicating superiority over the others.",logical choice,very confident,very likely,yes,"I selected that option because it had the highest value on the graph, indicating the most favorable outcome.",logical choice,extremely confident,very likely
444,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Cost effective measure and as i get older more other emergencies could arise.I would need access to my home at all tomes,advantages it offers,extremely confident,very likely,no,The likelihood of a flodd plus it would not be cost effective given the possibility of a flood...plus I wouldnt buy this residence in the first place....Im a prior adjuster and flood examiner,not worth the cost,moderately confident,likely
459,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Simple math If I have to pave 2x a year for 30 Years my out of pocket is $60,000.  If I pay $7000 one time for 30 Years I save 53,000.  It is a good solution.",cost benefit analysis,very confident,very likely,yes,"If I read the graph correctly, It would seem that 1% events may happen more frequently thereby upping my chances for flooding.  If I have have house that investment needs to be protected and the cost vs loss is far less than out-of-pocket replacement. It seems like the logical choice.",cost benefit analysis,moderately confident,likely
460,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),because chart show more than 10 and redoing over time will add up,cost benefit analysis,extremely confident,very likely,yes,Rainfall may increase,increase in rainfall,moderately confident,likely
477,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),High emission average,based on emissions scenario(s)/ projections,moderately confident,virtually certain,yes,Percent of change,change in rainfall,moderately confident,very likely
480,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Greenhouse serinour ,?,extremely confident,very likely,yes,It hard to say how much rain will fail,unable to read graph,very confident,virtually certain
488,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,The option with the basic erosion is the only scenario that fits and makes sense,logical choice,moderately confident,about as likely as not,yes,Because to me that's the only option that makes sense,logical choice,moderately confident,about as likely as not
491,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Expenses are same as improved erosion control, but there is no maintenance cost or effort",low maintenance,extremely confident,very likely,yes,Estimates of likelihood of loss in mortgage lifetime,avoid damage and its costs,very confident,very likely
492,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Long term security ,long lasting,extremely confident,about as likely as not,yes,Worth the cost,cost effective,very confident,about as likely as not
500,Bar_int,do nothing (protect against 0 heavy rainfall events per year),dont have do any of these at all,not needed,extremely confident,virtually certain,yes,save lots money to have flood insurance,saves money,extremely confident,virtually certain
507,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Makes more sense,logical choice,extremely confident,very likely,yes,It makes more sense ,logical choice,extremely confident,virtually certain
511,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,"It’s unlikely that the homeowner will experience more than 4 heave rainfall incidents per year going forward, but will certainly see more than 2 according to projections. ",freeboard added,very confident,exceptionally unlikely,yes,The cost is low enough that I’m willing to pay to ensure coverage ,cost effective,not at all confident,very likely
521,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Pay the money and be done with the problem. No more worries.,fix and forget,extremely confident,about as likely as not,no,"It’s a gamble, but I believe the cost outweighs the probability. You can also do things to limit damage.",not worth the cost,moderately confident,likely
533,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),it cobers driveway damage,avoid damage and its costs,very confident,very likely,yes,it isagoodvrate,good investment,moderately confident,very likely
537,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,just gonna do enough,to be prepared and protect,moderately confident,likely,yes,better safe than sorry,safe than sorry,very confident,likely
544,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It is the cheapest option and will last the life of the loan.,cost effective,extremely confident,very likely,yes,I would purchase flood insurance to protect my investment because the graph shows increases for both low and high emissions.,increase in rainfall,moderately confident,virtually certain
547,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,it seems to be the best protecting at a medium price rate.,best economic choice,moderately confident,likely,yes,there is a good change for it to flood again,risk of flood(s),moderately confident,likely
554,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),30 yr protection vs repairs every 2-4 yrs,cost benefit analysis,moderately confident,very likely,yes,High emmissons almost doubles over time,increase in rainfall,very confident,very likely
555,Bar_int,do nothing (protect against 0 heavy rainfall events per year),It gives good info,the description,extremely confident,very likely,yes,Because it helps in the future ,to be prepared and protect,extremely confident,virtually certain
566,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Saves money in the long run ,saves money,very confident,virtually certain,yes,The average is going WAY up,increase in rainfall,extremely confident,virtually certain
570,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Temporary fixes more costly over time and provide little protection ,cost benefit analysis,very confident,likely,yes,The annual cost is reasonable to protect the investment. ,cost effective,moderately confident,likely
572,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),This is the best protection.,best level of protection,moderately confident,very likely,yes,Flood can happen at anytime,risk of flood(s),moderately confident,unlikely
575,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"The others are more likely to cost more over a period of time base on cost that is projected and the ""projected"" amount of rain in the future, which may or not happen.",best economic choice,very confident,about as likely as not,yes,"Not the graph, it's common sense. A flood is possible and better to buy insurance than not.",to be prepared and protect,very confident,virtually certain
576,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Below regression prediction line.,based on average,very confident,likely,yes,There is an increase in rainfall intensity.,increase in rainfall,moderately confident,very likely
578,Bar_int,do nothing (protect against 0 heavy rainfall events per year),I have don't know,I don't know,very confident,about as likely as not,no,don't need flood insurance,not needed,very confident,likely
580,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Cheapervto protect it ,cost effective,extremely confident,virtually certain,yes,Flood coverage would be paid by flood insurance ,avoid damage and its costs,extremely confident,virtually certain
598,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It seems the cheapest in the long run ,cost effective,very confident,very likely,yes,Because it could flood ,risk of flood(s),extremely confident,about as likely as not
611,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I see how 2 heavy rainfalls can cause a lot of damage so it will be best to have protection.,based on 2 events,very confident,virtually certain,yes,It seems like the safest option incase of an accedident ,safe than sorry,very confident,likely
612,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Save lives or property ,protection of home and family,extremely confident,very likely,yes,To protect my property that might be damage from the water ,protection of home and family,extremely confident,unlikely
615,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It fits for me,logical choice,extremely confident,virtually certain,yes,I live in Florida so we have hurricanes which  comes with flooding,confusion about personal home,extremely confident,virtually certain
629,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,No comment,no comment,not very confident,very likely,no,No comment,no comment,moderately confident,very likely
645,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),This way you have no worries if it rains your ok by any means ,fix and forget,moderately confident,likely,yes,It’s more of a probability than anything yes I’d purchase it ,risk of flood(s),moderately confident,likely
654,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,I am interested in heavy protection.,best level of protection,very confident,likely,yes,I would be interested in flood insurance because of the possible benefit.,advantages it offers,very confident,likely
674,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Erosion control measures should help to stop damage.,avoid damage and its costs,moderately confident,very likely,yes,It seems like rain is expected to be heavy therefore its best to be covered.,high amount of rain,very confident,virtually certain
675,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Idk,I don't know,very confident,virtually certain,no,Idk,I don't know,very confident,about as likely as not
696,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Paving provides a more permanent solution to the possible problem.,long lasting,very confident,likely,yes,If it flooded in the past it may flood again since the predicted amount of rain in the graph increased.,increase in rainfall,very confident,likely
700,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because that’s what I seen ,feels right,very confident,very likely,yes,Because it would be needed ,to be prepared and protect,very confident,very likely
710,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Better protection ,best level of protection,very confident,very likely,yes,It’s going to flood,risk of flood(s),very confident,virtually certain
715,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Too long to explain. ,feels right,very confident,unlikely,yes,"Too many reasons, not enough time to list. ",logical choice,moderately confident,about as likely as not
724,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I could protect my driveway longer for less cost,saves money,very confident,very likely,yes,It would make sense given the previous owner experienced flood damage ,history of flood,very confident,likely
725,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,The graph clearly shows an increase in heavy rainfall events and I believe it's better safe than sorry,safe than sorry,extremely confident,virtually certain,yes,The likelihood of a flood continues to go up based on the graph,increase in risk of flood(s),extremely confident,virtually certain
735,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I think it’s what’s best ,logical choice,extremely confident,virtually certain,yes,1.9inch of rainfall,based on average,very confident,very likely
742,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,It would be best to tey to prepare against it ,to be prepared and protect,very confident,likely,yes,It doesn’t cost that much but could really help if a flood happens,cost effective,very confident,likely
744,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),For protection no matter what,to be prepared and protect,very confident,virtually certain,yes,The graph didn't affect my decision ,the description,extremely confident,very likely
755,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Having a real driveway may cost more money but will save you money in the long run,saves money,extremely confident,virtually certain,yes,You should always have flood insurance no matter where you live,to be prepared and protect,very confident,virtually certain
762,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It offers the most protection for years with increased heavy rainfall and no yearly maintenance fees,best level of protection,very confident,about as likely as not,yes,The amount of rainfall equals or surpasses previous amount that caused flooding,increase in rainfall,extremely confident,likely
763,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It's better to get the entire thing done than wait if it already needs to be revamped ,fix and forget,extremely confident,likely,yes,Over time more rain fell and the amount of higher emissions rose throughout the decades so more damage can occur in less than 10 years.,increase in rainfall,extremely confident,virtually certain
766,Bar_int,do nothing (protect against 0 heavy rainfall events per year),I'm just confused ,I don't understand,not very confident,about as likely as not,no,Nort in a flood plain ,not in a flood zone,not at all confident,about as likely as not
767,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Based on projected average number of days with a 1% rainfall event. ,based on average,extremely confident,unlikely,yes,There will be an increase in the amount of average rainfall. ,increase in rainfall,extremely confident,virtually certain
768,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Nothing,no comment,not at all confident,likely,no,Because of the rising cost,too expensive,not very confident,virtually certain
769,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Looking at the graph thats qhat I believe,based on the graph,moderately confident,very likely,yes,Great to have,to be prepared and protect,very confident,very likely
772,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,It was the most cost effective ,cost effective,moderately confident,about as likely as not,yes,The possibility of flooding is probably going to increase ,increase in risk of flood(s),moderately confident,likely
773,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Cause erosion ain’t cool I wanna protect my property not shrink it,protection of home and family,not very confident,very likely,yes,Because if it floods it cost more to fix then to pay for each month of insurance and rather have that security,to be prepared and protect,moderately confident,very likely
777,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Will save more money over time ,saves money,very confident,very likely,yes,Don’t want to pay out of pocket for damages and it’s likely to flood,avoid damage and its costs,very confident,very likely
779,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It is always nice to have protection,to be prepared and protect,very confident,likely,yes,To have a coverage when flooding happens,avoid damage and its costs,moderately confident,very likely
785,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,That shows with the highest one was.,amount of rain,moderately confident,about as likely as not,no,Can't predict the rain.,weather is unpredictable,not very confident,very likely
786,Bar_int,do nothing (protect against 0 heavy rainfall events per year),Just be the cheaper option.,cost effective,not very confident,about as likely as not,yes,It is better safe than sorry.,safe than sorry,moderately confident,very likely
795,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,average ,based on average,very confident,about as likely as not,yes,average ,based on average,very confident,likely
799,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,it seems like the best desicion to protect against the most likely scenario,based on average,moderately confident,unlikely,no,its not enough change,little to no change in risk,not at all confident,unlikely
801,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Doesn't flood here,confusion about personal home,extremely confident,likely,no,Doesn't flood very often jere,confusion about personal home,very confident,very likely
802,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Observation average,based on average,moderately confident,virtually certain,yes,Observation average,based on average,extremely confident,very likely
803,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,based on the data entailed,the description,very confident,very likely,yes,the upward trend of more rain,increase in rainfall,very confident,very likely
805,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,it looks ideal,logical choice,very confident,very likely,yes,ideal,logical choice,very confident,very likely
809,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I don’t know,I don't know,not very confident,very unlikely,yes,So that way if there was a flood I’d be prepared ,to be prepared and protect,not very confident,about as likely as not
814,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Yes it’s a large sum of money to pay upfront but then there is no monthly cost so over a couple of months my income will cover it ,cost effective,extremely confident,virtually certain,yes,It’s only 480 a year which hypothetically my job will pay for ,cost effective,extremely confident,likely
816,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,The rainfall is much heavier ,increase in rainfall,moderately confident,very likely,yes,The likelyhood of floods is high ,risk of flood(s),moderately confident,likely
819,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),The long term benefits outweigh the short term costs,long lasting,very confident,virtually certain,yes,The projected increase in amount and frequency of heavy rainfall,increase in rainfall,extremely confident,virtually certain
825,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Though this option is the most expensive, it would save me from flood for a long period of time compared to the others",long lasting,very confident,unlikely,yes,if 1.9 inch could cause that flood then i must be careful because it's aint safe per the numbers,amount of rain,very confident,unlikely
830,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Makes sense in the ling run to save money,saves money,extremely confident,virtually certain,yes,The facts and history show heavier rainfall for the future,increase in rainfall,extremely confident,virtually certain
860,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,This choice is the most favorable one here and cost effective.,best economic choice,very confident,virtually certain,yes,It is a rewarding choice,good investment,very confident,unlikely
877,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Paving the driveway wpuld be the long term solution to more costly repairs with the other options.,long lasting,extremely confident,unlikely,yes,The chances of rain for that year are significantly higher plus its always good to have things insured for a worst case scenario.,to be prepared and protect,extremely confident,about as likely as not
882,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Graph is showing in inches how much it is increasing.,increase in rainfall,moderately confident,likely,yes,The heavy rain has been increasing and is only going up.,increase in rainfall,moderately confident,very likely
887,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Frequency of flood will increase later on,increase in risk of flood(s),moderately confident,likely,yes,It is likely that flood scenarios will happen during my ownership ,risk of flood(s),moderately confident,very likely
888,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),best kption in the king run,logical choice,moderately confident,likely,yes,gugh rain fall amount ,amount of rain,not very confident,likely
889,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,It will rain more heavily over time,increase in rainfall,very confident,very likely,yes,It will be more in the coming years,increase in rainfall,very confident,very likely
898,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,The way things are set up don’t really need too much just basically like the basic necessities. It’s not gonna rain too much over flood but it will do some damages and rain overtime so just a,low amount of rain,moderately confident,likely,yes,You’ll save more money because your insurance is going to cover a lot of them damages that the water does throughout the year,saves money,very confident,about as likely as not
906,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Price,cost effective,very confident,about as likely as not,yes,Rain increases ,increase in rainfall,very confident,very likely
908,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Graphs and charts are effective visual tools because they present information quickly and easily.,based on the graph,extremely confident,virtually certain,yes,the accuracy and usefulness of the chart depend on the quality of the data used,saves money,extremely confident,virtually certain
909,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because,feels right,extremely confident,about as likely as not,yes,Becauxe,feels right,very confident,unlikely
911,Bar_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Best investment for long term money savings,saves money,extremely confident,virtually certain,yes,So insurance would cover the damages. Also to save a lot of money and to be insured in the future.,saves money,extremely confident,virtually certain
917,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Based off the graph and were I live,confusion about personal home,moderately confident,about as likely as not,no,Flooding rarely happens where I live.,confusion about personal home,moderately confident,about as likely as not
920,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It's an accurate prediction,?,extremely confident,likely,no,It floods a little where i live,confusion about personal home,extremely confident,very likely
925,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,You would pay less ,cost effective,very confident,likely,yes,To save my possessions ,protection of home and family,very confident,likely
929,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Cheaper than $7000 and also a good protection against rainfall,best economic choice,very confident,very likely,yes,Could potentially save money,saves money,very confident,very likely
930,Bar_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,because it seems like the most ergonomic option to go with ,best economic choice,very confident,virtually certain,no,ecause of the homeowners insurance risks,risks associated with insurance,not very confident,very likely
931,Bar_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,the information seems accurate ,?,very confident,very likely,yes,i want to be prepared ,to be prepared and protect,moderately confident,very likely
938,Bar_int,do nothing (protect against 0 heavy rainfall events per year),Flood ain't my fault,not needed,extremely confident,virtually certain,no,The flood wasn't my fault ,not needed,extremely confident,virtually certain
